序号	课程代码	课程名称	修读类别	学分	课程序号	所属计划	教师	是否自修	备注	操作
1	COTD0013	计算机基础（理）	正常	3	1512	计划内	闫晓玉	否		授课计划 课程小节 
2	ENTD0022	基础英语Ⅰ A	正常	2.5	0619	计划内	时雨	否		授课计划 课程小节 
3	IPTD0012	公能实践	正常	2	0789	计划内	指导教师	否	仅限理科试验班（数理科学与大数据）（物理科学学院代管）的2020级学生修读	授课计划 课程小节 
4	IPTD0015	思想道德修养与法律基础	正常	2.5	0866	计划内	徐曼	否		授课计划 课程小节 
5	IPTD0016	形势与政策	正常	2	0892	计划内	指导教师	否	仅限理科试验班（数理科学与大数据）（物理科学学院代管）的2020级学生修读	授课计划 课程小节 
6	LITE0266	大学语文（理工类）	正常	2	2678	计划内	薛英杰	否		授课计划 课程小节 
7	MATH0062	高等代数与解析几何2-1	正常	4.5	3272	计划内	"耿薇,雷辉,韩东啸"	否		授课计划 课程小节
8	MATH0139	数学分析I	正常	5.5	3474	计划内	"李忠华,邵辉,HUANG SENZHONG,张艺赢"	否		授课计划 课程小节 
9	MITD0005	军事技能训练	正常	2	2893	计划外	"赵清泰,曹波,孙玥,李金宸,阿依古丽"	否		授课计划 课程小节 
10	PETD0142	羽毛球高级	正常	1	3104	计划内	杨明	否		授课计划 课程小节 
11	UPEC0841	国际视野与个人成长（全英文）	正常	1	0427	计划内	"李川勇,黄津辉,王崇颖,涂俊,刘婷婷,李月琳,陈瑶,邱汉琴"	否		授课计划 课程小节 
